"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_SALTEDMEAT0","Salted Meat","Salted Meat","Nasolené maso","Gepökeltes Fleisch","Солонина","Peklowane mięso","Sózott hús","Carne sotto sale","Carne en salazón","Viande salée","鹽醃肉","塩漬け肉","Carne salgada","盐腌肉",
"STR_CHEFZ_ITEM_SALTEDMEAT1","Meat cured in salt. Still raw, but it keeps twice as long. Dry it or smoke it to keep it longer still.","Meat cured in salt. Still raw, but it keeps twice as long. Dry it or smoke it to keep it longer still.","Maso naložené v soli. Pořád syrové, ale vydrží dvakrát déle. Usuš ho nebo vyuď, a vydrží ještě déle.","In Salz gepökeltes Fleisch. Immer noch roh, hält aber doppelt so lange. Trocknen oder räuchern macht es noch haltbarer.","Мясо, выдержанное в соли. Всё ещё сырое, но хранится вдвое дольше. Высуши или закопти его, и оно пролежит ещё дольше.","Mięso zapeklowane w soli. Wciąż surowe, ale trzyma się dwa razy dłużej. Wysusz je lub uwędź, a przetrwa jeszcze dłużej.","Sóban pácolt hús. Még nyers, de kétszer tovább eláll. Szárítsd vagy füstöld meg, és még tovább bírja.","Carne conservata sotto sale. È ancora cruda, ma dura il doppio. Essiccala o affumicala per farla durare ancora di più.","Carne curada en sal. Sigue cruda, pero aguanta el doble. Sécala o ahúmala para que dure aún más.","Viande conservée au sel. Toujours crue, mais elle se garde deux fois plus longtemps. Séchez-la ou fumez-la pour la garder plus longtemps encore.","用鹽醃過的肉。仍是生的，但保存時間多出一倍。再加以乾燥或煙燻，能放得更久。","塩で漬け込んだ肉。まだ生だが、保存できる期間は二倍になる。乾燥させるか燻製にすれば、さらに長く持つ。","Carne curada no sal. Ainda crua, mas dura o dobro. Seque-a ou defume-a para durar ainda mais.","用盐腌过的肉。仍是生的，但保存时间多出一倍。再加以干燥或烟熏，能放得更久。",
"STR_CHEFZ_ITEM_DRIEDMEAT0","Dried Meat","Dried Meat","Sušené maso","Dörrfleisch","Вяленое мясо","Suszone mięso","Szárított hús","Carne essiccata","Carne seca","Viande séchée","肉乾","干し肉","Carne seca","肉干",
"STR_CHEFZ_ITEM_DRIEDMEAT1","Hard, dark and almost weightless. Keeps for weeks and needs no fire.","Hard, dark and almost weightless. Keeps for weeks and needs no fire.","Tvrdé, tmavé a téměř bez váhy. Vydrží týdny a nepotřebuje oheň.","Hart, dunkel und fast gewichtslos. Hält wochenlang und braucht kein Feuer.","Твёрдое, тёмное и почти невесомое. Хранится неделями и не требует огня.","Twarde, ciemne i niemal nieważkie. Trzyma się tygodniami i nie potrzebuje ognia.","Kemény, sötét és szinte súlytalan. Hetekig eláll, és nem kell hozzá tűz.","Dura, scura e quasi senza peso. Si conserva per settimane e non richiede fuoco.","Dura, oscura y casi sin peso. Aguanta semanas y no necesita fuego.","Dure, sombre et presque sans poids. Se garde des semaines et ne demande aucun feu.","又硬又黑，幾乎沒有重量。可以放上好幾週，也不必生火。","硬く黒く、ほとんど重さがない。数週間は持ち、火もいらない。","Dura, escura e quase sem peso. Dura semanas e não precisa de fogo.","又硬又黑，几乎没有重量。可以放上好几周，也不必生火。",
"STR_CHEFZ_ITEM_SMOKEDMEAT0","Smoked Meat","Smoked Meat","Uzené maso","Geräuchertes Fleisch","Копчёное мясо","Wędzone mięso","Füstölt hús","Carne affumicata","Carne ahumada","Viande fumée","煙燻肉","燻製肉","Carne defumada","烟熏肉",
"STR_CHEFZ_ITEM_SMOKEDMEAT1","Cured over cold smoke. Good travel food and worth trading.","Cured over cold smoke. Good travel food and worth trading.","Vyuzené ve studeném kouři. Dobré jídlo na cestu a slušné zboží na výměnu.","Über kaltem Rauch veredelt. Guter Reiseproviant und ein Handelsgut.","Выдержано в холодном дыму. Хорошая еда в дорогу и неплохой товар для обмена.","Utrwalone w zimnym dymie. Dobre jedzenie na drogę i niezły towar na wymianę.","Hideg füstön érlelve. Jó útravaló és értékes csereáru.","Conservata con fumo freddo. Ottimo cibo da viaggio e buona merce di scambio.","Curada con humo frío. Buena comida de viaje y una mercancía que vale.","Affinée au fumage à froid. Bonne nourriture de route et marchandise d'échange.","以冷煙燻製而成。既是好帶的乾糧，也是拿得出手的交易品。","冷燻で仕上げた一品。旅の食料にも、取引の品にもなる。","Curada com fumaça fria. Boa comida de viagem e uma boa mercadoria de troca.","以冷烟熏制而成。既是好带的干粮，也是拿得出手的交易品。",
"STR_CHEFZ_ITEM_SALTEDFISH0","Salted Fish","Salted Fish","Nasolená ryba","Gesalzener Fisch","Солёная рыба","Solona ryba","Sózott hal","Pesce sotto sale","Pescado en salazón","Poisson salé","鹽醃魚","塩漬け魚","Peixe salgado","盐腌鱼",
"STR_CHEFZ_ITEM_SALTEDFISH1","A fillet packed in salt. Raw, but no longer in a hurry.","A fillet packed in salt. Raw, but no longer in a hurry.","Filet zasypaný solí. Syrový, ale už nikam nespěchá.","Ein in Salz gelegtes Filet. Roh, aber nicht mehr in Eile.","Филе, засыпанное солью. Сырое, но теперь никуда не торопится.","Filet obsypany solą. Surowy, ale już mu się nie spieszy.","Sóba ágyazott filé. Nyers, de már nem siet sehová.","Un filetto sepolto nel sale. Crudo, ma ormai senza fretta.","Un filete cubierto de sal. Crudo, pero ya sin prisa.","Un filet enfoui dans le sel. Cru, mais plus pressé du tout.","埋在鹽裡的魚片。還是生的，但已經不趕時間了。","塩に埋めた切り身。生のままだが、もう急ぐ必要はない。","Um filé coberto de sal. Cru, mas já sem pressa.","埋在盐里的鱼片。还是生的，但已经不赶时间了。",
"STR_CHEFZ_ITEM_DRIEDFISH0","Dried Fish","Dried Fish","Sušená ryba","Trockenfisch","Сушёная рыба","Suszona ryba","Szárított hal","Pesce essiccato","Pescado seco","Poisson séché","魚乾","干し魚","Peixe seco","鱼干",
"STR_CHEFZ_ITEM_DRIEDFISH1","Stockfish. Light, tough and nearly indestructible.","Stockfish. Light, tough and nearly indestructible.","Sušená treska. Lehká, tuhá a téměř nezničitelná.","Stockfisch. Leicht, zäh und nahezu unverwüstlich.","Стокфиш. Лёгкая, жёсткая и почти неубиваемая.","Sztokfisz. Lekki, twardy i niemal niezniszczalny.","Szárított tőkehal. Könnyű, kemény és szinte elpusztíthatatlan.","Stoccafisso. Leggero, duro e quasi indistruttibile.","Estocafís. Ligero, duro y casi indestructible.","Stockfisch. Léger, coriace et quasiment indestructible.","風乾魚柴。又輕又韌，幾乎壞不掉。","干鱈。軽くて硬く、ほとんど傷まない。","Bacalhau seco. Leve, duro e quase indestrutível.","风干鱼柴。又轻又韧，几乎坏不掉。",
