"Language","original","English","German"
"STR_CHEFZ_ITEM_SALTEDMEAT0","Salted Meat","Salted Meat","Gepoekeltes Fleisch"
"STR_CHEFZ_ITEM_SALTEDMEAT1","Meat cured in salt. Still raw, but it keeps twice as long. Dry it or smoke it to keep it longer still.","Meat cured in salt. Still raw, but it keeps twice as long. Dry it or smoke it to keep it longer still.","In Salz gepoekeltes Fleisch. Immer noch roh, haelt aber doppelt so lange. Trocknen oder raeuchern macht es noch haltbarer."
"STR_CHEFZ_ITEM_DRIEDMEAT0","Dried Meat","Dried Meat","Doerrfleisch"
"STR_CHEFZ_ITEM_DRIEDMEAT1","Hard, dark and almost weightless. Keeps for weeks and needs no fire.","Hard, dark and almost weightless. Keeps for weeks and needs no fire.","Hart, dunkel und fast gewichtslos. Haelt wochenlang und braucht kein Feuer."
"STR_CHEFZ_ITEM_SMOKEDMEAT0","Smoked Meat","Smoked Meat","Geraeuchertes Fleisch"
"STR_CHEFZ_ITEM_SMOKEDMEAT1","Cured over cold smoke. Good travel food and worth trading.","Cured over cold smoke. Good travel food and worth trading.","Ueber kaltem Rauch veredelt. Guter Reiseproviant und ein Handelsgut."
"STR_CHEFZ_ITEM_SALTEDFISH0","Salted Fish","Salted Fish","Gesalzener Fisch"
"STR_CHEFZ_ITEM_SALTEDFISH1","A fillet packed in salt. Raw, but no longer in a hurry.","A fillet packed in salt. Raw, but no longer in a hurry.","Ein in Salz gelegtes Filet. Roh, aber nicht mehr in Eile."
"STR_CHEFZ_ITEM_DRIEDFISH0","Dried Fish","Dried Fish","Trockenfisch"
"STR_CHEFZ_ITEM_DRIEDFISH1","Stockfish. Light, tough and nearly indestructible.","Stockfish. Light, tough and nearly indestructible.","Stockfisch. Leicht, zaeh und nahezu unverwuestlich."
"STR_CHEFZ_ITEM_SMOKEDFISH0","Smoked Fish","Smoked Fish","Raeucherfisch"
"STR_CHEFZ_ITEM_SMOKEDFISH1","Golden brown from the smoker. The shortest road from a fresh catch to a lasting meal.","Golden brown from the smoker. The shortest road from a fresh catch to a lasting meal.","Goldbraun aus dem Raeucherschrank. Der kuerzeste Weg vom frischen Fang zum haltbaren Vorrat."
"STR_CHEFZ_ITEM_SMOKEDSAUSAGE0","Smoked Sausage","Smoked Sausage","Raeucherwurst"
"STR_CHEFZ_ITEM_SMOKEDSAUSAGE1","Sausage hung in the smoker. Rich, dense and ready to travel.","Sausage hung in the smoker. Rich, dense and ready to travel.","Im Raeucherschrank gehaengte Wurst. Kraeftig, dicht und reisefertig."
"STR_CHEFZ_ITEM_DRYSAUSAGE0","Dry Sausage","Dry Sausage","Trockenwurst"
"STR_CHEFZ_ITEM_DRYSAUSAGE1","Hard cured sausage. The longest lasting food in the kitchen.","Hard cured sausage. The longest lasting food in the kitchen.","Hart durchgetrocknete Dauerwurst. Das haltbarste Lebensmittel der Kueche."
"STR_CHEFZ_STATE_RAW","Raw","Raw","Roh"
"STR_CHEFZ_STATE_PREPARED","Prepared","Prepared","Vorbereitet"
"STR_CHEFZ_STATE_COOKED","Cooked","Cooked","Gekocht"
"STR_CHEFZ_STATE_BAKED","Baked","Baked","Gebacken"
"STR_CHEFZ_STATE_FRIED","Fried","Fried","Gebraten"
"STR_CHEFZ_STATE_SALTED","Salted","Salted","Gepoekelt"
"STR_CHEFZ_STATE_SMOKED","Smoked","Smoked","Geraeuchert"
"STR_CHEFZ_STATE_DRIED","Dried","Dried","Getrocknet"
"STR_CHEFZ_STATE_BURNT","Burnt","Burnt","Verbrannt"
"STR_CHEFZ_STATE_ROTTEN","Rotten","Rotten","Verdorben"
"STR_CHEFZ_CAT_FISH","Fish","Fish","Fisch"
"STR_CHEFZ_TAG_PRESERVED","Preserved","Preserved","Konserviert"
