"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_CREAM","Cream","Cream","Smetana","Sahne","Сливки","Śmietanka","Tejszín","Panna","Nata","Crème","鮮奶油","生クリーム","Nata","鲜奶油",
"STR_CHEFZ_ITEM_CREAM_DESC","Cream skimmed from milk. Churn it into butter or stir it into a sauce.","Cream skimmed from milk. Churn it into butter or stir it into a sauce.","Smetana sebraná z mléka. Stlučte z ní máslo nebo ji vmíchejte do omáčky.","Von der Milch abgerahmt. Zu Butter geschlagen oder in eine Soße gerührt.","Сливки, снятые с молока. Сбейте из них масло или вмешайте в соус.","Śmietanka zebrana z mleka. Ubij z niej masło albo wmieszaj do sosu.","A tej tetejéről lefölözött tejszín. Köpüld vajjá, vagy keverd mártásba.","Panna affiorata dal latte. Sbattila per farne burro o versala in una salsa.","Nata separada de la leche. Bátela para hacer mantequilla o añádela a una salsa.","Crème écrémée du lait. Barattez-la en beurre ou incorporez-la à une sauce.","從牛奶上撇出的鮮奶油。可攪打成奶油，或拌入醬汁。","牛乳からすくい取ったクリーム。撹拌してバターにするか、ソースに混ぜる。","Nata retirada do leite. Bata-a até virar manteiga ou junte-a a um molho.","从牛奶上撇出的鲜奶油。可搅打成黄油，或拌入酱汁。",
"STR_CHEFZ_ITEM_BUTTER","Butter","Butter","Máslo","Butter","Сливочное масло","Masło","Vaj","Burro","Mantequilla","Beurre","奶油","バター","Manteiga","黄油",
"STR_CHEFZ_ITEM_BUTTER_DESC","A block of churned butter. Fries, bakes, and keeps far longer than cream.","A block of churned butter. Fries, bakes, and keeps far longer than cream.","Kus stlučeného másla. Smaží, peče a vydrží mnohem déle než smetana.","Ein Stück geschlagene Butter. Zum Braten und Backen, und weit haltbarer als Sahne.","Брусок сбитого сливочного масла. Годится для жарки и выпечки, хранится куда дольше сливок.","Kostka ubitego masła. Do smażenia i pieczenia, trzyma się o wiele dłużej niż śmietanka.","Egy tömb köpült vaj. Sütéshez, pirításhoz, és sokkal tovább eláll, mint a tejszín.","Un panetto di burro. Frigge, cuoce al forno e si conserva molto più a lungo della panna.","Un bloque de mantequilla batida. Sirve para freír y hornear, y aguanta mucho más que la nata.","Une motte de beurre baratté. Pour frire et pour cuire au four; se garde bien plus longtemps que la crème.","一塊攪打成形的奶油。可煎可烤，比鮮奶油耐放得多。","撹拌して固めたバターの塊。焼き物にも炒め物にも使え、クリームよりずっと日持ちする。","Um bloco de manteiga batida. Frita, assa e dura muito mais que a nata.","一块搅打成形的黄油。可煎可烤，比鲜奶油耐放得多。",
"STR_CHEFZ_ITEM_CHEESE","Cheese","Cheese","Sýr","Käse","Сыр","Ser","Sajt","Formaggio","Queso","Fromage","起司","チーズ","Queijo","奶酪",
"STR_CHEFZ_ITEM_CHEESE_DESC","Pressed cheese. Dense, filling, and the longest keeping dairy product.","Pressed cheese. Dense, filling, and the longest keeping dairy product.","Lisovaný sýr. Hutný, sytý a nejtrvanlivější mléčný výrobek.","Gepresster Käse. Dicht, sättigend und das haltbarste Milchprodukt.","Прессованный сыр. Плотный, сытный и самый долгохранящийся молочный продукт.","Prasowany ser. Zwarty, sycący i najtrwalszy z nabiału.","Préselt sajt. Tömör, laktató, és a legtovább eltartható tejtermék.","Formaggio pressato. Compatto, saziante e il latticino che si conserva più a lungo.","Queso prensado. Denso, saciante y el lácteo que más aguanta.","Fromage pressé. Dense, nourrissant et le produit laitier qui se garde le plus longtemps.","壓製過的起司。紮實、頂飽，是最耐放的乳製品。","圧搾したチーズ。密度が高く腹持ちがよく、最も日持ちする乳製品。","Queijo prensado. Denso, saciante e o laticínio de maior durabilidade.","压制过的奶酪。扎实、顶饱，是最耐放的乳制品。",
"STR_CHEFZ_ITEM_EGG","Egg","Egg","Vejce","Ei","Яйцо","Jajko","Tojás","Uovo","Huevo","Œuf","雞蛋","卵","Ovo","鸡蛋",
"STR_CHEFZ_ITEM_EGG_DESC","A single egg. Fry it, boil it, or work it into dough.","A single egg. Fry it, boil it, or work it into dough.","Jedno vejce. Osmažte ho, uvařte ho, nebo ho zapracujte do těsta.","Ein einzelnes Ei. Braten, kochen oder in den Teig geben.","Одно яйцо. Пожарить, сварить или вмешать в тесто.","Pojedyncze jajko. Usmaż, ugotuj albo dodaj do ciasta.","Egyetlen tojás. Süsd meg, főzd meg, vagy dolgozd a tésztába.","Un singolo uovo. Da friggere, da lessare o da impastare.","Un huevo. Fríelo, cuécelo o incorpóralo a la masa.","Un œuf. À frire, à cuire ou à incorporer à la pâte.","一顆雞蛋。可煎、可煮，也可揉進麵團。","卵ひとつ。焼くか、茹でるか、生地に練り込む。","Um único ovo. Frite, cozinhe ou incorpore na massa.","一颗鸡蛋。可煎、可煮，也可揉进面团。",
"STR_CHEFZ_CAT_DAIRY","Dairy","Dairy","Mléčné výrobky","Milchprodukte","Молочные продукты","Nabiał","Tejtermékek","Latticini","Lácteos","Produits laitiers","乳製品","乳製品","Laticínios","乳制品",
"STR_CHEFZ_CAT_EGG","Eggs","Eggs","Vejce","Eier","Яйца","Jaja","Tojásfélék","Uova","Huevos","Œufs","蛋類","卵類","Ovos","蛋类",
