"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_GRAINMILL","Grain Mill","Grain Mill","Mlýnek na obilí","Getreidemühle","Зерновая мельница","Młynek do zboża","Gabonamalom","Macinino per cereali","Molinillo de grano","Moulin à grains","穀物磨粉機","製粉機","Moinho de grãos","谷物磨粉机",
"STR_CHEFZ_GRAINMILL_DESC","A hand-cranked mill. Grinds wheat into flour.","A hand-cranked mill. Grinds wheat into flour.","Ruční mlýnek na kliku. Mele pšenici na mouku.","Eine Handkurbelmühle. Mahlt Weizen zu Mehl.","Мельница с ручным приводом. Перемалывает пшеницу в муку.","Młynek z ręczną korbą. Miele pszenicę na mąkę.","Kézi hajtókaros malom. A búzát liszté őrli.","Un macinino a manovella. Macina il grano in farina.","Un molinillo de manivela. Muele el trigo hasta convertirlo en harina.","Un moulin à manivelle. Réduit le blé en farine.","手搖式磨粉機。將小麥磨成麵粉。","手回し式の製粉機。小麦を挽いて小麦粉にする。","Um moinho de manivela. Mói o trigo até virar farinha.","手摇式磨粉机。将小麦磨成面粉。",
"STR_CHEFZ_PASTAMACHINE","Pasta Machine","Pasta Machine","Strojek na těstoviny","Pastamaschine","Машинка для пасты","Maszynka do makaronu","Tésztagép","Macchina per la pasta","Máquina de pasta","Machine à pâtes","製麵機","パスタマシン","Máquina de massas","制面机",
"STR_CHEFZ_PASTAMACHINE_DESC","A hand-cranked machine. Rolls dough flat and cuts it into pasta.","A hand-cranked machine. Rolls dough flat and cuts it into pasta.","Ruční strojek na kliku. Vyválí těsto a nakrájí ho na těstoviny.","Eine Handkurbelmaschine. Walzt Teig aus und schneidet ihn zu Nudeln.","Машинка с ручным приводом. Раскатывает тесто и режет его на пасту.","Maszynka z ręczną korbą. Rozwałkowuje ciasto i tnie je na makaron.","Kézi hajtókaros gép. Kinyújtja a tésztát és metélttá vágja.","Una macchina a manovella. Stende l'impasto e lo taglia in pasta.","Una máquina de manivela. Estira la masa y la corta en pasta.","Une machine à manivelle. Étale la pâte et la découpe en pâtes.","手搖式機器。將麵團擀平並切成麵條。","手回し式の製麺機。生地を伸ばして麺に切る。","Uma máquina de manivela. Abre a massa e a corta em macarrão.","手摇式机器。将面团擀平并切成面条。",
"STR_CHEFZ_FLOUR","Flour","Flour","Mouka","Mehl","Мука","Mąka","Liszt","Farina","Harina","Farine","麵粉","小麦粉","Farinha","面粉",
"STR_CHEFZ_FLOUR_DESC","Milled wheat. The base of every dough.","Milled wheat. The base of every dough.","Namletá pšenice. Základ každého těsta.","Gemahlener Weizen. Die Grundlage jedes Teigs.","Молотая пшеница. Основа любого теста.","Zmielona pszenica. Podstawa każdego ciasta.","Őrölt búza. Minden tészta alapja.","Grano macinato. La base di ogni impasto.","Trigo molido. La base de toda masa.","Du blé moulu. La base de toute pâte.","磨碎的小麥。所有麵團的基礎。","挽いた小麦。あらゆる生地の基本。","Trigo moído. A base de qualquer massa.","磨碎的小麦。所有面团的基础。",
"STR_CHEFZ_PROC_MILL","Grind Grain","Grind Grain","Semlít obilí","Getreide mahlen","Смолоть зерно","Zmiel zboże","Gabona őrlése","Macina il grano","Moler grano","Moudre le grain","研磨穀物","穀物を挽く","Moer grãos","研磨谷物",
"STR_CHEFZ_CAT_GRAIN","Grain","Grain","Obiloviny","Getreide","Зерно","Zboże","Gabona","Cereali","Grano","Céréales","穀物","穀物","Grãos","谷物",
"STR_CHEFZ_CAT_FLOUR","Flour","Flour","Mouka","Mehl","Мука","Mąka","Liszt","Farina","Harina","Farine","麵粉","小麦粉","Farinha","面粉",
"STR_CHEFZ_TAG_GRAIN","Grain Product","Grain Product","Obilný výrobek","Getreideerzeugnis","Зерновой продукт","Produkt zbożowy","Gabonatermék","Prodotto a base di cereali","Producto de grano","Produit céréalier","穀物製品","穀物製品","Produto de grãos","谷物制品",
"STR_CHEFZ_ITEM_BUTTERCHURN","Butter Churn","Butter Churn","Máselnice","Butterfass","Маслобойка","Maselnica","Köpülő","Zangola","Mantequera","Baratte","攪乳桶","バターチャーン","Batedeira de manteiga","搅乳桶",
"STR_CHEFZ_ITEM_BUTTERCHURN_DESC","A churn for dairy work. Skims cream from milk and beats cream into butter.","A churn for dairy work. Skims cream from milk and beats cream into butter.","Máselnice pro zpracování mléka. Sbírá z mléka smetanu a stlouká ji na máslo.","Ein Fass für die Milchverarbeitung. Rahmt Milch ab und schlägt Sahne zu Butter.","Маслобойка для работы с молоком. Снимает с молока сливки и сбивает их в масло.","Maselnica do obróbki mleka. Zbiera śmietanę z mleka i ubija ją na masło.","Köpülő a tejfeldolgozáshoz. Lefölözi a tejszínt a tejről, majd vajjá köpüli.","Una zangola per il latte. Screma la panna dal latte e la sbatte fino a ottenere burro.","Una mantequera para trabajar la leche. Desnata la crema y la bate hasta obtener mantequilla.","Une baratte pour le travail du lait. Écrème la crème du lait et la bat en beurre.","處理乳品的攪乳桶。先從牛奶中撇出鮮奶油，再攪打成奶油。","乳製品づくり用のチャーン。牛乳から生クリームを分離し、攪拌してバターにする。","Uma batedeira para o trabalho com leite. Retira o creme do leite e o bate até virar manteiga.","处理乳品的搅乳桶。先从牛奶中撇出稀奶油，再搅打成黄油。",
"STR_CHEFZ_ITEM_CHEESEPRESS","Cheese Press","Cheese Press","Lis na sýr","Käsepresse","Пресс для сыра","Prasa do sera","Sajtprés","Pressa per formaggio","Prensa de queso","Presse à fromage","起司壓製器","チーズプレス","Prensa de queijo","奶酪压制器",
