"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_BONEBROTH","Bone Broth","Bone Broth","Kostní vývar","Knochenbrühe","Костный бульон","Bulion kostny","Csontleves","Brodo di ossa","Caldo de huesos","Bouillon d'os","骨高湯","骨だしスープ","Caldo de ossos","骨汤",
"STR_CHEFZ_ITEM_BONEBROTH_DESC","Bones simmered with root vegetables and herbs. Little energy, but it carries a meal further than anything else.","Bones simmered with root vegetables and herbs. Little energy, but it carries a meal further than anything else.","Kosti vyvařené s kořenovou zeleninou a bylinkami. Málo energie, ale žádná jiná přísada nedotáhne jídlo dál.","Knochen, mit Wurzelgemüse und Kräutern ausgekocht. Wenig Energie, aber sie trägt ein Gericht weiter als alles andere.","Кости, вываренные с корнеплодами и травами. Мало энергии, но ничто другое не вытянет блюдо так далеко.","Kości wygotowane z warzywami korzeniowymi i ziołami. Mało energii, ale nic innego nie ciągnie posiłku tak daleko.","Csontok gyökérzöldséggel és fűszernövényekkel kifőzve. Kevés energia, de semmi más nem visz el egy ételt ilyen messzire.","Ossa fatte sobbollire con verdure a radice ed erbe aromatiche. Poca energia, ma nulla regge un pasto così a lungo.","Huesos cocidos a fuego lento con raíces y hierbas. Poca energía, pero nada estira una comida como esto.","Des os mijotés avec des légumes-racines et des herbes. Peu d'énergie, mais rien ne fait durer un repas aussi loin.","骨頭與根莖蔬菜和香草一同慢燉。熱量不高，卻比任何東西都更能撐起一頓飯。","骨を根菜とハーブでじっくり煮出したもの。熱量は少ないが、これほど食事を長く支えるものはない。","Ossos cozidos em lume brando com raízes e ervas. Pouca energia, mas nada rende uma refeição como isto.","骨头与根茎蔬菜和香草一同慢炖。热量不高，却比任何东西都更能撑起一顿饭。",
"STR_CHEFZ_ITEM_TOMATOSAUCE","Tomato Sauce","Tomato Sauce","Rajčatová omáčka","Tomatensauce","Томатный соус","Sos pomidorowy","Paradicsomszósz","Salsa di pomodoro","Salsa de tomate","Sauce tomate","番茄醬汁","トマトソース","Molho de tomate","番茄酱汁",
"STR_CHEFZ_ITEM_TOMATOSAUCE_DESC","Tomatoes reduced in a pot with salt. The base of every pasta dish worth the name.","Tomatoes reduced in a pot with salt. The base of every pasta dish worth the name.","Rajčata zredukovaná v hrnci se solí. Základ každého těstovinového jídla, které si to jméno zaslouží.","Im Topf eingekochte Tomaten mit Salz. Grundlage jedes Nudelgerichts, das den Namen verdient.","Помидоры, уваренные в котелке с солью. Основа любого блюда из пасты, достойного этого названия.","Pomidory odparowane w garnku z solą. Podstawa każdego dania z makaronu z prawdziwego zdarzenia.","Sóval, fazékban besűrített paradicsom. Minden valamirevaló tésztaétel alapja.","Pomodori ristretti in pentola con il sale. La base di ogni piatto di pasta degno di questo nome.","Tomates reducidos en la olla con sal. La base de todo plato de pasta que merezca ese nombre.","Des tomates réduites dans une casserole avec du sel. La base de tout plat de pâtes digne de ce nom.","番茄加鹽在鍋裡收乾。每一道稱得上麵食的菜色，都從這裡開始。","トマトを塩とともに鍋で煮詰めたもの。名に値するパスタ料理は、すべてここから始まる。","Tomates reduzidos na panela com sal. A base de qualquer massa digna do nome.","番茄加盐在锅里收干。每一道称得上面食的菜色，都从这里开始。",
"STR_CHEFZ_ITEM_CREAMSAUCE","Cream Sauce","Cream Sauce","Smetanová omáčka","Rahmsauce","Сливочный соус","Sos śmietanowy","Tejszínes szósz","Salsa alla panna","Salsa de nata","Sauce à la crème","鮮奶油醬汁","クリームソース","Molho de natas","奶油酱汁",
"STR_CHEFZ_ITEM_CREAMSAUCE_DESC","Cream and butter, stirred smooth over low heat. Rich, heavy, and gone too fast.","Cream and butter, stirred smooth over low heat. Rich, heavy, and gone too fast.","Smetana a máslo, do hladka rozmíchané na mírném ohni. Vydatná, těžká a moc rychle pryč.","Sahne und Butter, bei milder Hitze glattgerührt. Gehaltvoll, schwer und viel zu schnell alle.","Сливки и масло, растёртые до гладкости на слабом огне. Жирный, тяжёлый и слишком быстро кончается.","Śmietana i masło, rozprowadzone na gładko na małym ogniu. Tłusty, ciężki i znika za szybko.","Tejszín és vaj, alacsony lángon simára keverve. Gazdag, nehéz, és túl gyorsan elfogy.","Panna e burro, mantecati lisci a fuoco basso. Ricca, pesante e finisce troppo in fretta.","Nata y mantequilla, ligadas a fuego lento. Rica, pesada y se acaba demasiado rápido.","Crème et beurre, lissés à feu doux. Riche, lourde, et vite épuisée.","鮮奶油與奶油，小火攪至滑順。濃郁、厚重，卻消失得太快。","生クリームとバターを弱火でなめらかに練ったもの。濃厚で重いが、あっという間になくなる。","Natas e manteiga, mexidas até ficarem lisas em lume brando. Rico, pesado e acaba depressa demais.","淡奶油与黄油，小火搅至滑顺。浓郁、厚重，却消失得太快。",
"STR_CHEFZ_ITEM_MUSHROOMCREAMSAUCE","Mushroom Cream Sauce","Mushroom Cream Sauce","Houbová smetanová omáčka","Pilzrahmsauce","Грибной сливочный соус","Sos śmietanowo-grzybowy","Tejszínes gombaszósz","Salsa di funghi alla panna","Salsa de setas a la nata","Sauce crémeuse aux champignons","蘑菇鮮奶油醬汁","きのこクリームソース","Molho de natas com cogumelos","蘑菇奶油酱汁",
"STR_CHEFZ_ITEM_MUSHROOMCREAMSAUCE_DESC","Mushrooms in cream, finished with parsley. Lighter than plain cream sauce and worth more on a plate.","Mushrooms in cream, finished with parsley. Lighter than plain cream sauce and worth more on a plate.","Houby ve smetaně, dochucené petrželkou. Lehčí než čistá smetanová omáčka a na talíři má větší cenu.","Pilze in Sahne, mit Petersilie abgeschmeckt. Leichter als die reine Rahmsauce und auf dem Teller mehr wert.","Грибы в сливках, приправленные петрушкой. Легче обычного сливочного соуса и ценнее на тарелке.","Grzyby w śmietanie, wykończone natką pietruszki. Lżejszy niż zwykły sos śmietanowy i więcej wart na talerzu.","Gomba tejszínben, petrezselyemmel megszórva. Könnyebb a sima tejszínes szósznál, és többet ér a tányéron.","Funghi alla panna, rifiniti con prezzemolo. Più leggera della semplice salsa alla panna e vale di più nel piatto.","Setas a la nata, rematadas con perejil. Más ligera que la salsa de nata simple y vale más en el plato.","Des champignons à la crème, relevés de persil. Plus légère que la sauce à la crème nature, et plus précieuse dans l'assiette.","鮮奶油燴蘑菇，最後撒上香芹。比純鮮奶油醬汁清爽，端上桌也更有分量。","きのこをクリームで煮て、パセリで仕上げた。ただのクリームソースより軽く、皿の上での値打ちは上だ。","Cogumelos em natas, finalizados com salsa. Mais leve que o molho de natas simples e vale mais no prato.","奶油烩蘑菇，最后撒上欧芹。比纯奶油酱汁清爽，端上桌也更有分量。",
"STR_CHEFZ_CAT_SAUCE","Sauce","Sauce","Omáčka","Sauce","Соус","Sos","Szósz","Salsa","Salsa","Sauce","醬汁","ソース","Molho","酱汁",
"STR_CHEFZ_CAT_TOMATO_SAUCE","Tomato Sauce","Tomato Sauce","Rajčatová omáčka","Tomatensauce","Томатный соус","Sos pomidorowy","Paradicsomszósz","Salsa di pomodoro","Salsa de tomate","Sauce tomate","番茄醬汁","トマトソース","Molho de tomate","番茄酱汁",
