"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_DOUGH","Dough","Dough","Těsto","Teig","Тесто","Ciasto","Tészta","Impasto","Masa","Pâte","麵團","生地","Massa","面团",
"STR_CHEFZ_DOUGH_DESC","Flour and water, kneaded. Bakes into bread in a pot or oven, into flatbread in a pan, and rolls into pasta.","Flour and water, kneaded. Bakes into bread in a pot or oven, into flatbread in a pan, and rolls into pasta.","Mouka a voda, prohnětené. V hrnci nebo troubě z něj bude chléb, na pánvi placka, ve strojku těstoviny.","Mehl und Wasser, geknetet. Im Topf oder Ofen wird daraus Brot, in der Pfanne Fladenbrot, in der Nudelmaschine Nudeln.","Мука и вода, вымешанные. В котелке или печи получится хлеб, на сковороде лепёшка, в машинке паста.","Mąka i woda, wyrobione. W garnku lub piecu wychodzi chleb, na patelni podpłomyk, w maszynce makaron.","Liszt és víz, összegyúrva. Fazékban vagy sütőben kenyér lesz belőle, serpenyőben lepénykenyér, a gépben tészta.","Farina e acqua, impastate. In pentola o nel forno diventa pane, in padella una piadina, nella macchina pasta.","Harina y agua, amasadas. En la olla o el horno se convierte en pan, en la sartén en pan plano, en la máquina en pasta.","Farine et eau, pétries. Dans une marmite ou un four, elle devient du pain ; à la poêle, du pain plat ; dans la machine, des nouilles.","麵粉和水揉成的麵團。放進鍋子或烤爐是麵包，下平底鍋是薄餅，進製麵機就是麵條。","小麦粉と水を練ったもの。鍋やオーブンで焼けばパン、フライパンならフラットブレッド、製麺機に通せばパスタになる。","Farinha e água, amassadas. Na panela ou no forno vira pão, na frigideira pão achatado, na máquina macarrão.","面粉和水揉成的面团。放进锅子或烤炉是面包，下平底锅是薄饼，进制面机就是面条。",
"STR_CHEFZ_RAWPASTA","Fresh Pasta","Fresh Pasta","Čerstvé těstoviny","Frische Nudeln","Свежая паста","Świeży makaron","Friss tészta","Pasta fresca","Pasta fresca","Pâtes fraîches","新鮮麵條","生パスタ","Macarrão fresco","新鲜面条",
"STR_CHEFZ_RAWPASTA_DESC","Fresh pasta. Cooks fast, keeps badly.","Fresh pasta. Cooks fast, keeps badly.","Čerstvé těstoviny. Uvaří se rychle, dlouho nevydrží.","Frische Nudeln. Kochen schnell, halten schlecht.","Свежая паста. Варится быстро, хранится плохо.","Świeży makaron. Gotuje się szybko, ale szybko się psuje.","Friss tészta. Gyorsan megfő, de hamar megromlik.","Pasta fresca. Cuoce in fretta, si conserva male.","Pasta fresca. Se cuece rápido, se conserva mal.","Pâtes fraîches. Cuisent vite, se conservent mal.","新鮮麵條。煮得快，但不耐放。","生パスタ。すぐ茹で上がるが、日持ちしない。","Macarrão fresco. Cozinha rápido, conserva-se mal.","新鲜面条。煮得快，但不耐放。",
"STR_CHEFZ_DRIEDPASTA","Dried Pasta","Dried Pasta","Sušené těstoviny","Trockennudeln","Сушёная паста","Makaron suszony","Szárított tészta","Pasta secca","Pasta seca","Pâtes sèches","乾麵條","乾燥パスタ","Macarrão seco","干面条",
"STR_CHEFZ_DRIEDPASTA_DESC","Dried on a rack. Keeps for a long time.","Dried on a rack. Keeps for a long time.","Usušené na sušáku. Vydrží dlouho.","Auf dem Trockenrahmen getrocknet. Hält lange.","Высушена на сушилке. Хранится долго.","Wysuszony na suszarce. Długo się przechowuje.","Szárítóállványon szárítva. Sokáig eltartható.","Essiccata su una rastrelliera. Si conserva a lungo.","Secada en un bastidor. Se conserva mucho tiempo.","Séchées sur un séchoir. Se conservent longtemps.","在晾架上風乾。可以長期保存。","乾燥ラックで干したもの。長期間保存できる。","Seco em um varal. Conserva-se por muito tempo.","在晾架上风干。可以长期保存。",
"STR_CHEFZ_BREAD","Bread","Bread","Chléb","Brot","Хлеб","Chleb","Kenyér","Pane","Pan","Pain","麵包","パン","Pão","面包",
"STR_CHEFZ_BREAD_DESC","A baked loaf.","A baked loaf.","Upečený bochník.","Ein gebackener Laib.","Испечённая буханка.","Upieczony bochenek.","Egy megsütött cipó.","Una pagnotta cotta al forno.","Una hogaza horneada.","Une miche cuite au four.","一條烤好的麵包。","焼き上がったパンのかたまり。","Um pão assado.","一条烤好的面包。",
"STR_CHEFZ_FLATBREAD","Flatbread","Flatbread","Placka","Fladenbrot","Лепёшка","Podpłomyk","Lepénykenyér","Piadina","Pan plano","Pain plat","薄餅","フラットブレッド","Pão achatado","薄饼",
"STR_CHEFZ_FLATBREAD_DESC","Unleavened bread from the pan.","Unleavened bread from the pan.","Nekynutý chléb z pánve.","Ungesäuertes Brot aus der Pfanne.","Пресный хлеб со сковороды.","Przaśny chleb z patelni.","Kovásztalan kenyér a serpenyőből.","Pane azzimo cotto in padella.","Pan sin levadura hecho en la sartén.","Pain sans levain cuit à la poêle.","用平底鍋煎出的無酵餅。","フライパンで焼いた無発酵のパン。","Pão sem fermento feito na frigideira.","用平底锅煎出的无酵饼。",
