"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_CAT_FISH_FILLET","Fish Fillet","Fish Fillet","Rybí filet","Fischfilet","Рыбное филе","Filet rybny","Halfilé","Filetto di pesce","Filete de pescado","Filet de poisson","魚片","魚の切り身","Filé de peixe","鱼片",
"STR_CHEFZ_ITEM_PLAICEFILLET0","Plaice Fillet","Plaice Fillet","Platýs – filet","Scholle-Filet","Камбала — филе","Gładzica – filet","Sima lepényhal filé","Passera – filetto","Solla – filete","Plie – filet","歐洲鰈切片","ヨーロッパツノガレイの切り身","Filé de Solha","欧洲鲽切片",
"STR_CHEFZ_ITEM_PLAICEFILLET1","Raw Plaice fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Plaice fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Platýs. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Scholle. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Камбала). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Gładzica). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Sima lepényhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Passera. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Solla. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Plie. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的歐洲鰈魚片。已去骨，可下鍋、入湯或上架風乾。","ヨーロッパツノガレイの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Solha. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的欧洲鲽鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_GILTHEADBREAMFILLET0","Gilthead Bream Fillet","Gilthead Bream Fillet","Pražman zlatý – filet","Dorade-Filet","Дорада — филе","Dorada – filet","Aranydurbincs filé","Orata – filetto","Dorada – filete","Daurade – filet","金頭鯛切片","ヨーロッパヘダイの切り身","Filé de Dourada","金头鲷切片",
"STR_CHEFZ_ITEM_GILTHEADBREAMFILLET1","Raw Gilthead Bream fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Gilthead Bream fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Pražman zlatý. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Dorade. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Дорада). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Dorada). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Aranydurbincs filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Orata. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Dorada. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Daurade. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的金頭鯛魚片。已去骨，可下鍋、入湯或上架風乾。","ヨーロッパヘダイの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Dourada. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的金头鲷鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_HALIBUTFILLET0","Halibut Fillet","Halibut Fillet","Halibut – filet","Heilbutt-Filet","Палтус — филе","Halibut – filet","Laposhal filé","Halibut – filetto","Fletán – filete","Flétan – filet","大比目魚切片","オヒョウの切り身","Filé de Alabote","大比目鱼切片",
"STR_CHEFZ_ITEM_HALIBUTFILLET1","Raw Halibut fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Halibut fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Halibut. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Heilbutt. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Палтус). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Halibut). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Laposhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Halibut. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Fletán. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Flétan. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的大比目魚魚片。已去骨，可下鍋、入湯或上架風乾。","オヒョウの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Alabote. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的大比目鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_CODFILLET0","Cod Fillet","Cod Fillet","Treska – filet","Kabeljau-Filet","Треска — филе","Dorsz – filet","Tőkehal filé","Merluzzo – filetto","Bacalao – filete","Cabillaud – filet","鱈魚切片","タラの切り身","Filé de Bacalhau","鳕鱼切片",
"STR_CHEFZ_ITEM_CODFILLET1","Raw Cod fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Cod fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Treska. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Kabeljau. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Треска). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Dorsz). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Tőkehal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Merluzzo. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Bacalao. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Cabillaud. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的鱈魚魚片。已去骨，可下鍋、入湯或上架風乾。","タラの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Bacalhau. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的鳕鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_SOLEFILLET0","Sole Fillet","Sole Fillet","Jazyk mořský – filet","Seezunge-Filet","Морской язык — филе","Sola – filet","Nyelvhal filé","Sogliola – filetto","Lenguado – filete","Sole – filet","鰨魚切片","シタビラメの切り身","Filé de Linguado","鳎鱼切片",
