"Language","original","english","german",
"STR_CHEFZ_PACK","Dismantle","Dismantle","Abbauen",
"STR_CHEFZ_KIT","Building Kit","Building Kit","Bausatz",

"STR_CHEFZ_Honeycomb_Frame","Honeycomb frame","Honeycomb frame","Honigwaben-Rahmen",
"STR_CHEFZ_Honeycomb_Frame_DESC","A honeycomb frame. Takes place into Beehive","A honeycomb frame. Takes place into Beehive","Ein Honigwaben-Rahmen. Kann in einem Bienenstock platziert werden",
"STR_CHEFZ_Wooden_Frame","Empty honeycomb frame","Empty honeycomb frame","Leerer Honigwaben-Rahmen",
"STR_CHEFZ_Wooden_Frame_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_BeeSmoker","Beesmoker","Beesmoker","Smoker",
"STR_CHEFZ_BeeSmoker_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Jar","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Jar_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_HandRake","Hand rake","Hand rake","Handrechen",
"STR_CHEFZ_HandRake_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_MilkCan","Milk can","Milk can","Milchkanne",
"STR_CHEFZ_MilkCan_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Box","Box","Box","Schachtel",
"STR_CHEFZ_Box_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Box_Open","Open box","Open box","Offene Schachtel",
"STR_CHEFZ_Box_Open_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",

"STR_CHEFZ_Soup","Soup","Soup","Suppe",
"STR_CHEFZ_Soup_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Soup_BoneBroth","Bonebroth soup","Bonebroth soup","Knochenbrühe",
"STR_CHEFZ_Soup_BoneBroth_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Soup_Vegetables","Vegetable soup","Vegetable soup","Gemüsesuppe",
"STR_CHEFZ_Soup_Vegetables_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Soup_ChernarusChili","Chernarus chilli soup","Chernarus chilli soup","Chernarus Chilli-Suppe",
"STR_CHEFZ_Soup_ChernarusChili_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Stew_Fisherman","Fisherman stew","Fisherman stew","Fischereintopf",
"STR_CHEFZ_Stew_Fisherman_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Stew_Hunter","Hunter stew","Hunter stew","Jägereintopf",
"STR_CHEFZ_Stew_Hunter_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Bread","Bread","Bread","Brot",
"STR_CHEFZ_Bread_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Cheese","Cheese","Cheese","Käse",
"STR_CHEFZ_Cheese_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_BeefCubes","Beef cubes","Beef cubes","Fleischwürfel",
"STR_CHEFZ_BeefCubes_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_DicedMeat","Diced meat","Diced meat","Würfelfleisch",
"STR_CHEFZ_DicedMeat_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_FarmersBreakfast","Farmers breakfast","Farmers breakfast","Bauernfrühstück",
"STR_CHEFZ_FarmersBreakfast_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Leg_Beef","Leg beef","Leg beef","Rinderkeule",
"STR_CHEFZ_Leg_Beef_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Leg_Pork","Leg pork","Leg pork","Schweinekeule",
"STR_CHEFZ_Leg_Pork_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Leg_Venison","Leg venison","Leg venison","Hirschkeule",
