"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_DICEDMEAT0","Diced Meat","Diced Meat","Maso na kostky","Fleischwürfel","Мясо кубиками","Mięso w kostce","Kockázott hús","Carne a cubetti","Carne en dados","Viande en dés","肉丁","角切り肉","Carne em cubos","肉丁",
"STR_CHEFZ_ITEM_DICEDMEAT1","Meat cut into cubes. Ready for stew, soup or pasta.","Meat cut into cubes. Ready for stew, soup or pasta.","Maso nakrájené na kostky. Připravené do guláše, polévky nebo k těstovinám.","In Würfel geschnittenes Fleisch. Fertig für Eintopf, Suppe oder Pasta.","Мясо, нарезанное кубиками. Готово для рагу, супа или пасты.","Mięso pokrojone w kostkę. Gotowe do gulaszu, zupy lub makaronu.","Kockára vágott hús. Pörkölthöz, leveshez vagy tésztához.","Carne tagliata a cubetti. Pronta per spezzatino, zuppa o pasta.","Carne cortada en dados. Lista para guiso, sopa o pasta.","Viande coupée en dés. Prête pour un ragoût, une soupe ou des pâtes.","切成方塊的肉。可用於燉菜、湯品或義大利麵。","角切りにした肉。シチューやスープ、パスタにすぐ使える。","Carne cortada em cubos. Pronta para ensopado, sopa ou massa.","切成方块的肉。可用于炖菜、汤或意大利面。",
"STR_CHEFZ_ITEM_MINCEDMEAT0","Minced Meat","Minced Meat","Mleté maso","Hackfleisch","Фарш","Mięso mielone","Darált hús","Carne macinata","Carne picada","Viande hachée","絞肉","ひき肉","Carne moída","绞肉",
"STR_CHEFZ_ITEM_MINCEDMEAT1","Ground meat of no particular animal.","Ground meat of no particular animal.","Mleté maso neurčitého původu.","Gewolftes Fleisch ohne erkennbare Herkunft.","Фарш неизвестного происхождения.","Mięso mielone nieokreślonego pochodzenia.","Darált hús, meghatározhatatlan eredetű.","Carne macinata di origine imprecisata.","Carne picada de origen indeterminado.","Viande hachée d'origine indéterminée.","來源不明的絞肉。","何の動物か分からないひき肉。","Carne moída de origem indefinida.","来源不明的绞肉。",
"STR_CHEFZ_ITEM_MINCEDPORK0","Minced Pork","Minced Pork","Mleté vepřové","Schweinehack","Свиной фарш","Mielone wieprzowe","Darált sertéshús","Macinato di maiale","Carne picada de cerdo","Porc haché","豬絞肉","豚ひき肉","Carne moída de porco","猪肉馅",
"STR_CHEFZ_ITEM_MINCEDPORK1","Ground pork. Fatty and rich in energy.","Ground pork. Fatty and rich in energy.","Mleté vepřové. Tučné a vydatné.","Gewolftes Schweinefleisch. Fett und energiereich.","Свиной фарш. Жирный и калорийный.","Mielone mięso wieprzowe. Tłuste i sycące.","Darált sertéshús. Zsíros és energiadús.","Macinato di maiale. Grasso e ricco di energia.","Carne picada de cerdo. Grasa y muy energética.","Porc haché. Gras et riche en énergie.","豬絞肉。油脂豐富，熱量高。","豚のひき肉。脂が多く、カロリーが高い。","Carne moída de porco. Gorda e rica em energia.","猪肉馅。油脂多，热量高。",
"STR_CHEFZ_ITEM_MINCEDVENISON0","Minced Venison","Minced Venison","Mleté jelení maso","Wildhack","Фарш из оленины","Mielone mięso z jelenia","Darált szarvashús","Macinato di cervo","Carne picada de ciervo","Cerf haché","鹿絞肉","鹿ひき肉","Carne moída de veado","鹿肉馅",
"STR_CHEFZ_ITEM_MINCEDVENISON1","Ground deer meat. Lean and nourishing.","Ground deer meat. Lean and nourishing.","Mleté jelení maso. Libové a výživné.","Gewolftes Hirschfleisch. Mager und nährstoffreich.","Фарш из оленины. Постный и питательный.","Mielone mięso z jelenia. Chude i pożywne.","Darált szarvashús. Sovány és tápláló.","Macinato di cervo. Magro e nutriente.","Carne picada de ciervo. Magra y nutritiva.","Cerf haché. Maigre et nourrissant.","鹿絞肉。脂肪少，營養足。","鹿のひき肉。脂肪が少なく栄養がある。","Carne moída de veado. Magra e nutritiva.","鹿肉馅。脂肪少，营养足。",
"STR_CHEFZ_ITEM_MINCEDBOAR0","Minced Boar","Minced Boar","Mleté maso z divočáka","Wildschweinhack","Фарш из кабана","Mielone mięso z dzika","Darált vaddisznóhús","Macinato di cinghiale","Carne picada de jabalí","Sanglier haché","野豬絞肉","猪ひき肉","Carne moída de javali","野猪肉馅",
"STR_CHEFZ_ITEM_MINCEDBOAR1","Ground wild boar. Strong in taste.","Ground wild boar. Strong in taste.","Mleté maso z divočáka. Výrazné chuti.","Gewolftes Wildschwein. Kräftig im Geschmack.","Фарш из кабана. С резким вкусом.","Mielone mięso z dzika. O wyrazistym smaku.","Darált vaddisznóhús. Erőteljes ízű.","Macinato di cinghiale. Dal sapore deciso.","Carne picada de jabalí. De sabor fuerte.","Sanglier haché. Au goût prononcé.","野豬絞肉。味道濃烈。","猪のひき肉。味が濃い。","Carne moída de javali. De sabor forte.","野猪肉馅。味道浓烈。",
